n,dv1_x,dv1_y,nominal_value,expected_value,variance,time_cost
1,0.8699999999998749,-2.6700000000000177,3.859401067548309,3.900573020984042,0.00927373454207276,2514100.0
2,0.8199999999998759,-2.6900000000000173,3.8674478762162368,3.9918278794270092,0.015265317242088612,2534100.0
3,1.1799999999998685,-2.5000000000000213,3.8808787630040866,3.91925183342811,0.014410787760882855,537600.0
4,0.8399999999998755,-2.680000000000017,3.8811955232914395,3.948906224527919,0.011343686974977604,2535900.0
5,0.6999999999998785,-2.750000000000016,3.8909403063766863,3.9422774434525154,0.011510567656409332,2506600.0
6,0.8199999999998759,-2.700000000000017,3.8936162964259133,3.9553769519278767,0.010716744979842683,2483600.0
7,0.8899999999998744,-2.660000000000018,3.893673174243091,3.896520206124385,8.574264478611448e-05,2513700.0
8,0.7999999999998764,-2.710000000000017,3.8937433737507137,3.9760984365042407,0.013161689989627039,2480600.0
9,0.8599999999998751,-2.6700000000000177,3.897702848085814,3.9114902005415577,0.0028270146633706675,2537100.0
10,0.8399999999998755,-2.6900000000000173,3.904438781807553,3.9252418066535637,0.004057018700070435,2485800.0
11,0.7799999999998768,-2.7200000000000166,3.9052612191703577,3.962816217365849,0.009988680461335137,2476600.0
12,0.7099999999998783,-2.750000000000016,3.907070976253027,3.9575073986661895,0.010346354674242856,2484100.0
13,0.8899999999998744,-2.680000000000017,3.9134670152906237,3.980227900942428,0.003489850972048882,445900.0
14,0.769999999999877,-2.740000000000016,3.9163787266975203,4.0107750353277245,0.004289461059312665,419400.0
15,0.8799999999998747,-2.660000000000018,3.9174919785454527,3.9220015059582987,0.0008237939144074897,2537600.0
16,0.9399999999998734,-2.650000000000018,3.9218594132166835,4.040840034064384,0.03041561501800686,1472800.0
17,1.0299999999998717,-2.600000000000019,3.924010302694964,3.955093987268515,0.0037660766649730464,483400.0
18,0.8599999999998751,-2.680000000000017,3.9258942339909715,3.926841151450195,0.0008461181262955519,2487300.0
19,0.9799999999998724,-2.6300000000000185,3.927329242501646,3.966026679201288,0.003205812787687985,468800.0
20,0.6799999999998789,-2.760000000000016,3.9279372653453146,3.931395583159609,2.8545534136735796e-05,2498900.0
21,0.7599999999998772,-2.7300000000000164,3.928752128163887,3.9438305308245645,0.003650182891022722,2471900.0
22,0.909999999999874,-2.650000000000018,3.936806882526264,3.9387949084052263,0.0001247585570626454,2513300.0
23,1.1199999999998695,-2.5400000000000205,3.936994616197773,3.9842633538519405,0.05883025192747382,1542700.0
24,0.7199999999998781,-2.760000000000016,3.9373427344732006,4.1071707054106,0.0268756202350518,1432200.0
25,0.8999999999998742,-2.650000000000018,3.942354790416073,3.9459570834720954,0.0005898201256368438,2537500.0
26,1.0899999999998702,-2.56000000000002,3.953697555057168,3.9708659568148006,0.03457236161708748,1527000.0
27,0.6499999999998796,-2.790000000000015,3.9543050984651806,4.12395120517927,0.03219926920158498,1427300.0
28,1.149999999999869,-2.520000000000021,3.954369850097133,3.951766634203967,0.04831269422094139,1558100.0
29,0.8799999999998747,-2.6700000000000177,3.958179303007881,3.9588510359443734,0.0007201231456729138,2488200.0
30,1.009999999999872,-2.610000000000019,3.9598527341031096,3.994425223745924,0.02506368060354727,1493500.0
31,0.6899999999998787,-2.760000000000016,3.960455757525124,3.962518448683319,0.00046842698618376966,2476900.0
32,0.7399999999998776,-2.740000000000016,3.9627077851181487,3.9642899590097347,0.0011497711984213696,2466600.0
33,0.5999999999998806,-2.8100000000000147,3.963826977190191,4.1501415299549445,0.041135879109857824,1426500.0
34,0.909999999999874,-2.6700000000000177,3.96615475974051,3.9888454963296156,0.0033019101572896734,449400.0
35,0.7499999999998774,-2.750000000000016,3.971200770380932,4.0142711142168475,0.004042560823780206,413600.0
